,,
MOGANAD ESTATE,,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
,,
S.No,Field Name,Acre
,,
1,MARIAMMAN KOVIL,22.35
2,ANDY MAISTRY KADU,6.45
3,KAMALAKADU,11
4,TANK FIELD,2
5,BUNGALOW FIELD,4.13
6,MANGO FIELD,2.4
7,"VALAKADU, MANIAN & MATTUKARAN",16.91
8,LINE FIELD,15.64
9,KULLAN & KANDAN KADU,3.08
10,NAYAGAN & AAYMMA KADU,2.57
11,ALAVARAN KADU,4.94
12,MSP SCHOOL FIELD,3.14
13,MACADAMIA GOUNDAN KADU,3.12
14,MSP VYAPURIKUTTAI MEL KADU,9.24
15,VENGAPANAKADU,3.81
16,MANGALAM ANDY KADU,1.77
17,CHIDAMBARAM KADU,0.44
18,ANNADURAI KADU,4
19,KALIAMMA KADU,3.69
20,SOLUR KADU,10.83
21,MOOKAN KADU,25.15
22,CHINNAN KADU,1.6
23,POOSARI VELLAYAN KADU,2.83
24,KULLAVALAKADU,5
24,24 ACRES,24
25,NADU LEVEL,12
26,APPLE KADU,7
27,OOTTU LEVEL,7
28,10 ¾ ACRES,10
29,ARUVAMPULPADI,12
30,CATIMORE THUNDU,2
31,NODICHEKAL ATHIMARATHUNDU,18
32,NODICHEKAL KARADITHUNDU,9.27
,TOTAL ACRE,267.36
,,
,,
,,
,BISON VALLEY ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
1,KEEL NODICHAKAL,16
2,MEL NODICHAKAL,2
3,CITRODORA FIELD,5
4,PUTHUKADU,5
5,BOMMIDI QUARTERS THUNDU,10
6,CHURAMPULPADI ACRES –,12
7,PAMANDICHOLAI ACRES,13
8,CHAPAKADAN TOP LEVEL,6
9,CHAPAKADAN MIDDLE LEVEL,12
,,
,TOTAL ACRE,81
,,
,,
,,
,,
,,
,GOWRI WOODLANDS ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
,,
1,LAKE FIELD,5
2,PIDARI KOVIL,7
3,3 ACRES,3
4,10.3/4 ACRES,10.75
5,6 ACRES,6
6,9 ACRES,9
7,VELLARI,5
8,12 ACRES,12
9,PANDRUKULI,9
10,NATTANKALKUTHU,5
11,MEL NODICHAKAL,3
12,PAMANDICHOLAI,3
13,3/4 ACRES,0.75
,TOTAL ACRE,78.5
,,
,,
,,
,GOWRI ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
,,
,KUTTAMARATHU PADI,5
,KUNTHAPANAI LEVEL,3
,MULLANKAL,12
,MULLANKAL NEW FIELD,6.25
,KOMALIKAL KUTTAI,3.5
,PALIPARAI NADU LEVEL,7
,PALIPARAI NEW FIELD,4
,MATTUPATTI MATTAM,5
,ASARIKAL KUTTAI,8
,GOUNDAN THUNDU,6
,VELLARY,1
,LINEFIELD,3
,SEEMAPUL KADU,6
,PAMPU PARAI,4
,TANK FIELD,5
,PAMPUPARAI NEW FIELD,2
,MELKAL KUTTAI,3
,KEELKAL KUTTAI,2
,ONDI ACRE,1
,BUNGALOW PADI NEW FIELD,6
,BUNGALOW PADI,7
,SALAMARATHU LEVEL,6
,MATHANKULI,5
,VALAKKODAVU,6
,MATTUPATHAI,10
,PAMMANDICHOLAI,2
,PAMMANDICHOLAI NEW FIELD,4
,CARDAMOM FIELD,4
,CARDAMOM NEW FIELD,6
,TOTAL ACRE,142.75
,,
,,
,STANMORE ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
1,KEELISH,13
2,MELISH,13
3,THIRUDAN THUNDU,5
4,YERAKATHUPUTHU KADU,14
5,THANDI PADI,6
6,LEKLAR,13
7,PATTIPADIAN THUNDU,5
8,YERIPUDHU KADU,15
9,BUNGALOW THUNDU,5
10,NAGALUR THUNDU,11
11,PELAMARA THUNDU,7
12,PIDARI KOIL,11
13,VELLAMANIKADU,5
14,SHAIB THUNDU,2
15,KUDURA PATTI,6
16,THEERTHAN THUNDU,8
17,KERAMBU KADU,4
18,VALA KADU,4
19,PANJU KADU,9
20,PATTI THUNDU,7
21,VALAKODAVU,7
,TOTAL ACRE,170
,,
,,
,HIDDEN FALLS ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
,,
1,Bungalow Field,7
2,Line Field,8
3,Kondiyuran Field,10
4,Thagaraline Field,10
5,Puttur Pallam,10
6,Alamaram Field,5
7,12 Acre Field,12
8,RamaRao Field,10
9,Seven Acres Field,7
10,Mango Field,1.5
,,
,TOTAL ACRE,80.5
,,
,,
,ORCHARDALE ESTATE,
,LIST SHOWING DETAILS OF NAME OF THE FIELD & AREA,
,,
S.No,Field Name,Acre
1,Kamala Kadu,11
2,Mel Puthu Kadu ( Vandi Mudakkum),12
3,Vandi Mudakkum Mel Kadu,3
4,Athu Kadu,8
5,Line Mel Kadu,9
6,Line Kil Kadu,13.25
7,View Point,6
8,Camp Thundu,8
9,Kali Kovil,17.5
10,Thaila Kadu,23
11,Dam Thundu,4
12,Parai Kadu,5
13,60 Acre Boundary,2.5
,TOTAL ACRE,110.75
